Year,tech_do
2016,
2016,
2016,C; Java; Python; SQL
2016,"Android; AngularJS; C++; C#; Cloud (AWS, GAE, Azure, etc.); F#; JavaScript; MongoDB; Node.js; SQL"
2016,
2016,C#; JavaScript; Python; Ruby
2016,
2016,"AngularJS; Cordova; Cloud (AWS, GAE, Azure, etc.); JavaScript; LAMP; Node.js; PHP; Python; Ruby; SQL"
2016,C++; iOS; LAMP; PHP; Python; SQL; Swift
2016,Arduino / Raspberry Pi; C#; JavaScript; SQL; SQL Server; Windows Phone
2016,Arduino / Raspberry Pi; AngularJS; C++; C#; Java; JavaScript; Node.js; Python
2016,PHP
2016,Android; PHP
2016,Android; Arduino / Raspberry Pi; AngularJS; CoffeeScript; Java; JavaScript; LAMP; MongoDB; Node.js; PHP; Redis; SQL
2016,C#; JavaScript; PHP; SQL
2016,Android; C; C#; iOS; Java; JavaScript; PHP; SQL; Swift; Visual Basic; Windows Phone
2016,C++
2016,AngularJS; C#; Cordova; JavaScript; Node.js; PHP; WordPress
2016,C#; Java; JavaScript; PHP; SQL
2016,AngularJS; JavaScript; PHP; SQL; SQL Server; WordPress
2016,
2016,C#; Java; JavaScript
2016,C#; Java; JavaScript; PHP; SQL Server
2016,C; Java; JavaScript; PHP; SQL
2016,
2016,Android; JavaScript; LAMP; PHP; Python; SQL; SQL Server; WordPress
2016,MongoDB; Node.js; PHP; Redis; Ruby
2016,AngularJS; Java; JavaScript; Node.js; SQL; SQL Server
2016,C#; JavaScript; Node.js; SQL; SQL Server
2016,
2016,JavaScript; PHP; ReactJS; Redis
2016,Android; C++; C#; Java; JavaScript; MongoDB; Node.js; Python
2016,CoffeeScript; Go; Java; JavaScript; Scala
2016,"Android; AngularJS; C#; Cordova; Cloud (AWS, GAE, Azure, etc.); Java; JavaScript; MongoDB; Node.js; Windows Phone"
2016,JavaScript; PHP; SQL
2016,JavaScript; PHP; SQL
2016,
2016,JavaScript; LAMP; PHP
2016,Arduino / Raspberry Pi; C; C++; C#; iOS; Node.js; Objective-C; Swift
2016,PHP; Redis; SQL
2016,C#; Java; JavaScript
2016,C#; Cordova; JavaScript; SQL; SQL Server; Visual Basic
2016,C#; Java; JavaScript; PHP; SQL; SQL Server
2016,
2016,SharePoint; SQL; SQL Server; WordPress
2016,AngularJS; C++; C#; JavaScript; MongoDB; Redis; SQL Server; Visual Basic
2016,Android; C#; SQL; SQL Server; Visual Basic
2016,Android; C#; iOS; Java; Objective-C; Swift; Windows Phone
2016,"Android; AngularJS; Cordova; Cloud (AWS, GAE, Azure, etc.); Java; JavaScript; Node.js"
2016,"Android; AngularJS; C#; Cloud (AWS, GAE, Azure, etc.); Java; JavaScript; LAMP; MongoDB; Node.js; PHP; Ruby; SQL; SQL Server"
2016,JavaScript; LAMP; PHP
2016,C++; Python; SQL
2016,PHP
2016,AngularJS; Java; JavaScript; MongoDB; SQL
2016,C#; JavaScript; SQL; SQL Server
2016,C; C#; Java; JavaScript; PHP; SQL
2016,Arduino / Raspberry Pi; C#; Java; JavaScript; PHP; Python
2016,JavaScript; LAMP; Python; WordPress
2016,C#
2016,Arduino / Raspberry Pi; AngularJS; C; C#; Clojure; JavaScript; Node.js
2016,"C#; Cloud (AWS, GAE, Azure, etc.); JavaScript; Redis; SQL; SQL Server"
2016,C++; JavaScript; LAMP; PHP
2016,"Android; C; C++; C#; CoffeeScript; Cloud (AWS, GAE, Azure, etc.); Java; JavaScript; Node.js; Objective-C; Ruby; SQL; SQL Server; Visual Basic"
2016,Android; AngularJS; C#; Java; JavaScript; Node.js; Python; Scala; SQL
2016,"Android; AngularJS; Cassandra; Cloud (AWS, GAE, Azure, etc.); Hadoop; Java; JavaScript; Node.js; Python; Spark"
2016,C#; iOS; Java; Objective-C; PHP; Python; SQL; SQL Server; Swift
2016,AngularJS; Java; JavaScript; MongoDB; Node.js
2016,C#; PHP; SQL Server; WordPress
2016,Java; SQL
2016,
2016,JavaScript; PHP; SQL
2016,C#; Go; Java; JavaScript; MongoDB; Node.js; Redis; SQL; SQL Server
2016,AngularJS; C#; Java; JavaScript; PHP; Ruby; SQL; SQL Server; Visual Basic; WordPress
2016,C++; Haskell; Java; JavaScript; Node.js; Visual Basic
2016,C#; Java; Visual Basic; Windows Phone
2016,Java; JavaScript; SQL
2016,
2016,
2016,
2016,PHP; SQL; SQL Server
2016,C#; JavaScript; SQL Server; Windows Phone
2016,JavaScript; WordPress
2016,
2016,AngularJS; C#; Cordova; JavaScript
2016,
2016,Arduino / Raspberry Pi; AngularJS; C; C++; Go; Java; JavaScript; MongoDB; Node.js; PHP; ReactJS; Redis; SQL; Swift
2016,JavaScript; Ruby; SQL; WordPress
2016,C; C++; Java; Python
2016,AngularJS; PHP; Ruby
2016,AngularJS; Java; JavaScript; LAMP; MongoDB; Node.js; PHP; SQL
2016,Android; Clojure; Java; JavaScript; Salesforce; SQL
2016,JavaScript; PHP; SQL; WordPress
2016,C#; Java; JavaScript; SQL
2016,Android; C; C++; Java; Matlab; Python; Scala; SQL
2016,Java; Scala
2016,
2016,Java; JavaScript; SQL
2016,Android; Arduino / Raspberry Pi; C; C#; JavaScript; SQL
2016,Arduino / Raspberry Pi; Java; JavaScript; MongoDB; PHP; SQL; WordPress
2016,
2016,AngularJS; CoffeeScript; Cordova; iOS; JavaScript; MongoDB; Node.js; PHP; Python; ReactJS; SQL; Swift; WordPress
2016,JavaScript; PHP
2016,JavaScript; PHP; SQL; WordPress
2016,Android; Arduino / Raspberry Pi; AngularJS; C++; Java; JavaScript; Python; SQL
2016,C#; SQL; SQL Server; Visual Basic
2016,JavaScript; PHP; SQL; WordPress
2016,JavaScript
2016,JavaScript; PHP; Python; SQL
2016,Android; Arduino / Raspberry Pi; C; C++; Java; Python; SQL
2016,AngularJS; C#; JavaScript; PHP
2016,Android; AngularJS; C#; Java; JavaScript; Node.js; Python; R; SQL; SQL Server
2016,JavaScript; Python
2016,SQL
2016,"C#; Cloud (AWS, GAE, Azure, etc.); JavaScript; PHP; SQL; SQL Server; Windows Phone"
2016,AngularJS; Cordova; JavaScript; ReactJS
2016,
2016,Android; Arduino / Raspberry Pi; AngularJS; C; C++; Java; JavaScript; Matlab; Perl; Python; SQL
2016,Arduino / Raspberry Pi; AngularJS; C++
2016,Android; Java; JavaScript; MongoDB; Ruby; SQL; SQL Server
2016,JavaScript; PHP; ReactJS
2016,
2016,Arduino / Raspberry Pi; C; Python
2016,
2016,C#; JavaScript; PHP; SQL; SQL Server
2016,AngularJS; C++; C#
2016,Arduino / Raspberry Pi; C; C#; PHP; Windows Phone
2016,C#; JavaScript; Ruby; SQL; SQL Server
2016,C++; C#; SQL
2016,Python; R
2016,
2016,
2016,C++; SQL
2016,
2016,Android; AngularJS; Java; JavaScript; Node.js; PHP; SQL
2016,AngularJS; JavaScript; Node.js; PHP; ReactJS; Redis
2016,
2016,
